address,n_inbound,inbound_wei,n_outbound,outbound_wei
0x2d596d599e139256399b2fb19b3de6908bcbc8e2,22,3702062570000000000000000,5,3702062570000000000000000
0x4eaaf198e4156176a337b79f726226bd4dcd0c88,21,2068478000000000000000000,6,2068478000000000000000000
0xf17ce756f907e38375a1d3fdf5c4c4e6232c794e,18,1055807950000000000000000,9,1055807950000000000000000
0x0efaaee9ce72814551aea6b8fbe5597e013016e9,17,1383000000000000000000000,9,1383000000000000000000000
0x8f313f887b3ebc622e71128cf270865397220be4,20,1622704880000000000000000,6,1622704880000000000000000
0xc142fb655b7c471b4ddbe2ca303d7f2899d19d7c,20,1355544820000000000000000,6,1071503293892430278884462
0xe2606e9f3b35a527aa1cce94f74f7b8d3b24e728,6,202615722875500000000000,20,37380114974891324205688
0x1d75f5c6304a07d32bffe39395531129a9c11eb1,20,1241600950000000000000000,6,1241600950000000000000000
0x1e33c4e3e82e624e8ff51f9f3b77bf034bc5f9aa,20,1102335710000000000000000,6,1102335710000000000000000
0x1ed09674609519a93c55a0656df8a82a2b55f2b9,26,2583560080000000000000000,0,0
0x52a79a86250f234feb14359a00b2f2898daf834e,20,469998240000000000000000,6,469998240000000000000000
0x65ed3d79ce6989ceccc9b0c9f1f285fdc7d3497f,20,573650000000000000000000,6,573650000000000000000000
0xbcce633ad9719baa3637521d8270be32fe9c01c3,20,2023400730000000000000000,6,2023400730000000000000000
0x4c0858c2db09c4840b39975d1682dbcaa5c88f0c,26,2504797710000000000000000,0,0
0x960a0cdfbcbec1dd34f87aa9c644d5a78695821f,23,2802529020000000000000000,3,2802529020000000000000000
0xbbafb339d78a26106deea64c83fc55e4b3b50c02,21,1117958580000000000000000,5,1117958580000000000000000
0x53a57d96e8c77752a1a5e3d9dbf139769bc2a2a8,18,1017179510000000000000000,8,1017179510000000000000000
0xc374f5e2ca0392ea6455cfa09b61956993d52e00,26,2600000000000000000000000,0,0
0x299669184f13e739f3e9e600c06a5b15469ce52c,20,2868759780000000000000000,6,2868759780000000000000000
0x386e49817868ea21a215960a30a4ff6181c28a30,11,1486583060000000000000000,14,1486583060000000000000000
0x1c3e05a842e72e787f1b2d598ad92b7d51d4daa7,25,786309280000000000000000,0,0
0xf0c91a7a6e88076b77004dcb4b115cb9a52f7ce0,22,2038571320000000000000000,3,1784546462400000000000000
0x08371215bdb8ebd742956fd2557bbfcaf4abec2a,17,1088861210427450429139783,8,1088861210427450429139783
0x8ff7dd8fae37da2b8454c8e76bb1dc4f5ca5ad81,8,15955000000000000000000000,17,14853601465795195191727683
0xab1e808520e90430a0d5d8e8ab9994bf98fb3900,19,997500000000000000000000,6,997500000000000000000000
0x89a38bb9ee932ddc75d9dfc3a462e0787a9e78d5,18,2202662000000000000000000,7,121170040000000000000000
0x92e6d72d1fb1098524505e06e5c903c256a10a07,17,4306625610000000000000000,8,4306625610000000000000000
0x9a44f95a4329cdcc274fac732f157b7dd906e169,17,2853954350000000000000000,8,2853954350000000000000000
0xd4627ecb405b64448ee6b07dcf860bf55590c83d,25,2124410608318878373,0,0
0x58b5fe70011809368dffb5102bb6e2d472943bf4,16,1734786390000000000000000,8,1734786390000000000000000
0x6a18bf4eed2df35f8a4cf52c26c7479a134a55cc,18,1519493920000000000000000,6,1519493920000000000000000
0xacc4b28f12afa874cef5c8ddb4795301c61df0fd,18,1697825960000000000000000,6,1697825960000000000000000
0xfb669c390f25d0a3b4c525c284a1d59388e8d8ae,24,2830586560000000000000000,0,0
0xc98d318d136e3b801a0f230f720f45da98d5bae4,18,1220000000000000000000000,6,1220000000000000000000000
0xd7347b196f09192052d02f35b998c82f124dd18a,18,994069000000000000000000,6,994069000000000000000000
0x082d2526c8ef2054a293a3b7cc2d092a57f30871,24,1531500000000000000000000,0,0
0x9c1935ed32011e2ff424818363b6065e5722c2ad,17,1280000000000000000000000,6,1280000000000000000000000
0x277db647570bf3158a85c22ce51ae7ddf5c2c422,17,1939654760000000000000000,6,1939654760000000000000000
